exp_id,created_at,base_exp_id,changed_task_count,changed_tasks,rule_names,status,submission_id,public_score,score_delta_vs_parent,outcome,ablation_needed,child_exp_ids,notes
GOLF_20260610_080_simple_exact_batch_conservative_5,2026-06-11T22:44:48,GOLF_20260609_078_stack_galaxy021,5,"task031,task087,task140,task223,task307","crop_nonzero_bbox,rotate180,upscale_x2,upscale_x3",SubmissionStatus.COMPLETE,53572424,6281.07,-11.370000,negative_batch,true,"GOLF_20260610_081_simple_exact_batch_080_A2,GOLF_20260610_082_simple_exact_batch_080_B3",split into GOLF_20260610_081_simple_exact_batch_080_A2 and GOLF_20260610_082_simple_exact_batch_080_B3
GOLF_20260610_081_simple_exact_batch_080_A2,2026-06-11T23:05:05,GOLF_20260609_078_stack_galaxy021,2,"task031,task087","crop_nonzero_bbox,rotate180",SubmissionStatus.COMPLETE,53572779,6289.61,-2.830000,negative_batch,true,"GOLF_20260610_082_simple_exact_batch_081_A1,GOLF_20260610_083_simple_exact_batch_081_B1",split into GOLF_20260610_082_simple_exact_batch_081_A1 and GOLF_20260610_083_simple_exact_batch_081_B1
GOLF_20260610_081_simple_exact_batch_medium_10,2026-06-11T22:45:07,GOLF_20260609_078_stack_galaxy021,4,"task031,task036,task166,task300","fill_bounding_box,largest_color_crop,largest_object_crop",SubmissionStatus.COMPLETE,53572348,6292.94,0.500000,positive_batch,false,,no ablation action
GOLF_20260610_082_simple_exact_batch_080_B3,2026-06-11T23:05:21,GOLF_20260609_078_stack_galaxy021,3,"task140,task223,task307","rotate180,upscale_x2,upscale_x3",SubmissionStatus.COMPLETE,53572697,6283.90,-8.540000,negative_batch,true,"GOLF_20260610_083_simple_exact_batch_082_A1,GOLF_20260610_084_simple_exact_batch_082_B2",split into GOLF_20260610_083_simple_exact_batch_082_A1 and GOLF_20260610_084_simple_exact_batch_082_B2
GOLF_20260610_082_simple_exact_batch_081_A1,2026-06-11T23:09:50,GOLF_20260609_078_stack_galaxy021,1,task031,crop_nonzero_bbox,SubmissionStatus.COMPLETE,53573097,6292.16,-0.280000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_082_simple_exact_batch_aggressive_20,2026-06-11T22:45:41,GOLF_20260609_078_stack_galaxy021,11,"task031,task087,task140,task223,task307,task036,task166,task276,task300,task309,task380","color_replacement,crop_nonzero_bbox,fill_bounding_box,largest_color_crop,largest_object_crop,rotate180,rotate270,upscale_x2,upscale_x3",SubmissionStatus.COMPLETE,53572449,6268.28,-24.160000,negative_batch,true,"GOLF_20260610_083_simple_exact_batch_082_A5,GOLF_20260610_084_simple_exact_batch_082_B6",split into GOLF_20260610_083_simple_exact_batch_082_A5 and GOLF_20260610_084_simple_exact_batch_082_B6
GOLF_20260610_083_simple_exact_batch_081_B1,2026-06-11T23:09:50,GOLF_20260609_078_stack_galaxy021,1,task087,rotate180,SubmissionStatus.COMPLETE,53602589,6289.90,-2.540000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_083_simple_exact_batch_082_A1,2026-06-11T23:09:50,GOLF_20260609_078_stack_galaxy021,1,task140,rotate180,SubmissionStatus.COMPLETE,53602641,6289.90,-2.540000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_083_simple_exact_batch_082_A5,2026-06-11T23:05:39,GOLF_20260609_078_stack_galaxy021,5,"task031,task087,task140,task223,task307","crop_nonzero_bbox,rotate180,upscale_x2,upscale_x3",SubmissionStatus.COMPLETE,53572747,6281.07,-11.370000,negative_batch,true,"GOLF_20260610_084_simple_exact_batch_083_A2,GOLF_20260610_085_simple_exact_batch_083_B3",split into GOLF_20260610_084_simple_exact_batch_083_A2 and GOLF_20260610_085_simple_exact_batch_083_B3
GOLF_20260610_084_simple_exact_batch_082_B2,2026-06-11T23:09:50,GOLF_20260609_078_stack_galaxy021,2,"task223,task307","upscale_x2,upscale_x3",SubmissionStatus.COMPLETE,53602553,6286.45,-5.990000,negative_batch,true,"GOLF_20260610_085_simple_exact_batch_084_A1,GOLF_20260610_086_simple_exact_batch_084_B1",split into GOLF_20260610_085_simple_exact_batch_084_A1 and GOLF_20260610_086_simple_exact_batch_084_B1
GOLF_20260610_084_simple_exact_batch_082_B6,2026-06-11T23:05:39,GOLF_20260609_078_stack_galaxy021,6,"task036,task166,task276,task300,task309,task380","color_replacement,fill_bounding_box,largest_color_crop,largest_object_crop,rotate270",SubmissionStatus.COMPLETE,53572843,6279.65,-12.790000,negative_batch,true,"GOLF_20260610_085_simple_exact_batch_084_A3,GOLF_20260610_086_simple_exact_batch_084_B3",split into GOLF_20260610_085_simple_exact_batch_084_A3 and GOLF_20260610_086_simple_exact_batch_084_B3
GOLF_20260610_085_simple_exact_batch_084_A1,2026-06-12T20:53:34,GOLF_20260609_078_stack_galaxy021,1,task223,upscale_x3,SubmissionStatus.COMPLETE,53602805,6289.45,-2.990000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_085_simple_exact_batch_084_A3,2026-06-12T20:53:14,GOLF_20260609_078_stack_galaxy021,3,"task036,task166,task276","color_replacement,fill_bounding_box,largest_object_crop",SubmissionStatus.COMPLETE,53602776,6286.99,-5.450000,negative_batch,true,"GOLF_20260610_086_simple_exact_batch_085_A1,GOLF_20260610_087_simple_exact_batch_085_B2",split into GOLF_20260610_086_simple_exact_batch_085_A1 and GOLF_20260610_087_simple_exact_batch_085_B2
