"task_id","candidate_model_path","model_path","source_id","source_exp_id","method_family","memory_footprint","parameter_count","file_size","cost_proxy","utility_proxy","local_valid","risk","candidate_rank","recommended_action"
"task001","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task001.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task001.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","1","submit_full_source_except_failed_task133"
"task002","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task002.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task002.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","2","submit_full_source_except_failed_task133"
"task003","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task003.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task003.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","3","submit_full_source_except_failed_task133"
"task004","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task004.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task004.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","4","submit_full_source_except_failed_task133"
"task005","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task005.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task005.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","5","submit_full_source_except_failed_task133"
"task006","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task006.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task006.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","6","submit_full_source_except_failed_task133"
"task007","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task007.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task007.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","7","submit_full_source_except_failed_task133"
"task008","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task008.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task008.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","8","submit_full_source_except_failed_task133"
"task009","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task009.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task009.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","9","submit_full_source_except_failed_task133"
"task010","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task010.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task010.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","10","submit_full_source_except_failed_task133"
