task_id,rule_family,rule_name,train_examples,train_pass_count,train_pass_rate,estimated_hidden_risk,source_basis,candidate_generator,candidate_onnx_path,local_validation_status,eligible_for_batch,notes
task031,crop,crop_nonzero_bbox,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task031/simple_exact/crop_nonzero_bbox/task031.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""max_output_height"": 7, ""max_output_width"": 8, ""scale"": 1}; crop bounding box of nonzero cells"
task031,object_crop,largest_color_crop,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task031/simple_exact/largest_color_crop/task031.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""padding_index"": 29}; crop bounding box of most frequent nonzero color"
task031,object_crop,largest_object_crop,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task031/simple_exact/largest_object_crop/task031.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""padding_index"": 29}; crop bounding box of largest 4-connected same-color object"
task036,object_crop,largest_object_crop,2,2,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task036/simple_exact/largest_object_crop/task036.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""padding_index"": 29}; crop bounding box of largest 4-connected same-color object"
task067,split,first_hsplit,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task067/simple_exact/first_hsplit/task067.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""parts"": 3}; keep first of 3 horizontal splits"
task070,fill,fill_bounding_box,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task070/simple_exact/fill_bounding_box/task070.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""fill_color"": 3, ""source_color"": 8}; fill non-source cells in color 8 bbox with 3"
task087,rotation,rotate180,4,4,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task087/simple_exact/rotate180/task087.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""height"": 3, ""rotation"": ""rotate180"", ""width"": 3}; fixed input rectangle 3x3"
task097,cleanup,remove_isolated_pixels,4,4,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task097/simple_exact/remove_isolated_pixels/task097.onnx,pass: examples_checked=267; examples_failed=0,true,params={}; remove 8-neighbor isolated foreground
task129,color_canvas,most_color_canvas,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task129/simple_exact/most_color_canvas/task129.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""height"": 3, ""width"": 3}; fixed output canvas 3x3"
task140,rotation,rotate180,2,2,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task140/simple_exact/rotate180/task140.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""height"": 3, ""rotation"": ""rotate180"", ""width"": 3}; fixed input rectangle 3x3"
task150,mirror,horizontal_mirror,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task150/simple_exact/horizontal_mirror/task150.onnx,pass: examples_checked=266; examples_failed=0,true,params={}; reverse valid columns
task155,mirror,vertical_mirror,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task155/simple_exact/vertical_mirror/task155.onnx,pass: examples_checked=266; examples_failed=0,true,params={}; reverse valid rows
task166,fill,fill_bounding_box,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task166/simple_exact/fill_bounding_box/task166.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""fill_color"": 2, ""source_color"": 8}; fill non-source cells in color 8 bbox with 2"
task223,upscale,upscale_x3,2,2,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task223/simple_exact/upscale_x3/task223.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""scale"": 3}; repeat pixels x3"
task249,concat,hconcat_self,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task249/simple_exact/hconcat_self/task249.onnx,pass: examples_checked=265; examples_failed=0,true,params={}; horizontal concat input with itself
task276,color_map,color_replacement,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task276/simple_exact/color_replacement/task276.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""source_color"": 6, ""target_color"": 2}; replace color 6 with 2"
task300,object_crop,largest_color_crop,4,4,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task300/simple_exact/largest_color_crop/task300.onnx,pass: examples_checked=267; examples_failed=0,true,"params={""padding_index"": 29}; crop bounding box of most frequent nonzero color"
task303,fill,frontier_fill,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task303/simple_exact/frontier_fill/task303.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""fill_color"": 2}; fill uniform row/column frontier with 2"
task307,upscale,upscale_x2,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task307/simple_exact/upscale_x2/task307.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""scale"": 2}; repeat pixels x2"
task309,color_map,color_replacement,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task309/simple_exact/color_replacement/task309.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""source_color"": 7, ""target_color"": 5}; replace color 7 with 5"
task310,object_crop,least_color_crop,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task310/simple_exact/least_color_crop/task310.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""max_output_size"": 8}; crop bounding box of least frequent present color"
task325,count,connected_component_count,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task325/simple_exact/connected_component_count/task325.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""object_color"": 8}; render component-count diagonal"
task380,rotation,rotate270,4,4,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task380/simple_exact/rotate270/task380.onnx,pass: examples_checked=267; examples_failed=0,true,"params={""height"": 3, ""rotation"": ""rotate270"", ""width"": 3}; fixed input rectangle 3x3"
