task_id,candidate_model_path,base_size,candidate_size,hash_diff,size_delta
task020,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task020.onnx,31378,2552,true,-28826
task023,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task023.onnx,33105,32255,true,-850
task025,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task025.onnx,13460,48200,true,34740
task028,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task028.onnx,2079,4590,true,2511
task034,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task034.onnx,8450,12244,true,3794
task062,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task062.onnx,23218,8635,true,-14583
task084,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task084.onnx,2820,17320,true,14500
task092,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task092.onnx,3438,3189,true,-249
task128,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task128.onnx,3217,1997,true,-1220
task153,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task153.onnx,11725,7147,true,-4578
task159,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task159.onnx,12822,5011,true,-7811
task161,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task161.onnx,4323,3370,true,-953
task200,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task200.onnx,3848,3895,true,47
task202,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task202.onnx,3582,2928,true,-654
task208,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task208.onnx,15747,4971,true,-10776
task209,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task209.onnx,12442,329423,true,316981
task217,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task217.onnx,1350,3729,true,2379
task243,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task243.onnx,16567,8995,true,-7572
task255,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task255.onnx,292530,44145,true,-248385
task277,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task277.onnx,6687,7743,true,1056
task285,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task285.onnx,37371,45171,true,7800
task319,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task319.onnx,8028,49282,true,41254
task323,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task323.onnx,2479,9976,true,7497
task367,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task367.onnx,9982,164936,true,154954
task370,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task370.onnx,15444,18308,true,2864
task387,data\external\hf_rogermt_neurogolf_solver\medal-solvers\optimized\task387.onnx,12388,17298,true,4910
