ref,title,author,lastRunTime,totalVotes

vyankteshdwivedi/neurogolf-multi-source-onnx-solver,NeuroGolf Multi-Source ONNX Solver,zorojuro,2026-06-06 15:15:11.013000,82

octaviograu/6154-71-onnx-rewrites-hand-built-solvers,[6154.71] ONNX Rewrites + Hand-Built Solvers,Octavi Grau,2026-06-01 10:54:05.900000,112

aliafzal9323/neurogolf-2026-tiny-onnx-solver,NeuroGolf 2026: Tiny-ONNX Solver,Ali Afzal,2026-04-21 08:35:59.897000,64

jonathanchan/ngc26-constraint-smart-logic-mix-blending,[NGC26] Constraint Smart Logic Mix Blending,Jonathan Chan,2026-05-08 02:56:54.807000,140

konbu17/neurogolf-2026-blended-till-4-27,NeuroGolf-2026 Blended till 4/27 ,konbu17,2026-05-06 06:21:54.130000,96

karnakbaevarthur/all-task-description-analysis,All Task Description Analysis,Karnakbayev Artur,2026-04-29 10:44:54.137000,145

magmacot/4200-v5-neurogolf-fix-for-new-system-soon,[4200+] - v5 NeuroGolf fix for new system soon!,Magmucot,2026-04-23 10:09:14.147000,72

konbu17/neurogolf-2026-may-8-updated,NeuroGolf-2026 [May 8 updated],konbu17,2026-05-09 19:53:37.467000,66

jiweiliu/kaggle-agent-ensemble-with-yash9439,Kaggle Agent Ensemble with yash9439,Jiwei Liu,2026-04-18 00:53:24.917000,64

nihilisticneuralnet/neurogolf-championship-2026-starter-notebook,NeuroGolf Championship 2026: Starter Notebook,parthenos,2026-04-17 06:13:15.063000,87

thisray/neurogolf-4808-21-post-apr-28-update,NeuroGolf 4808.21 Post Apr 28 Update,thisray,2026-04-29 02:50:52.467000,37

jsrdcht/6029-09-lb-neurogolf-all-task-onnx-solution,[6029.09 LB] NeuroGolf All-Task ONNX Solution,Chet,2026-05-18 11:02:53.937000,41

foysalemonshanto/the-2026-neurogolf-championship,The 2026 NeuroGolf Championship,FOYSAL,2026-04-21 08:46:29.860000,35

yash9439/neurogolf-2026-improved-starter-notebook,NeuroGolf 2026 : Improved Starter Notebook ,yash bhaskar,2026-04-16 17:28:52.003000,117

anazemcev/neurogolf-2026-cost-optimal-blend,NeuroGolf 2026: Cost-Optimal Blend,Artem1410,2026-05-24 08:17:28.533000,18

snnguynvnk19hl/neurogolf-2026-baseline-for-gemma4, NeuroGolf 2026 – Baseline for Gemma4,Kaiser,2026-05-16 07:45:12.553000,17

hanifnoerrofiq/neurogolf-sparse-builder,NeuroGolf Sparse Builder,Hanif Noer Rofiq,2026-04-16 12:40:19.930000,35

cdeotte/eda-task-026,EDA - Task 026,Chris Deotte,2026-05-11 00:07:05.253000,25

jocelyndumlao/neurogolf-2026-simple-logic-solver,NeuroGolf 2026: Simple Logic Solver,Jocelyn Dumlao,2026-05-10 07:04:15.383000,24

rauffauzanrambe/neurogolf-constraint-smart-logic-ensemble-4k,NeuroGolf: Constraint Smart Logic Ensemble [4K+],Ra'uf Fauzan Rambe,2026-04-27 03:40:54.687000,12

