task_id,present_in_public_zip,source_id,source_notebook,output_file_sha256,size_bytes,winner_source,notes
task001,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,1199,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task002,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,67e1eea67e292c5e471103dd2d92bc52833e553b72789a39ce35a88d0218c3f4,5858,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task003,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,1442,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task004,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,2170,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task005,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,4eb431e0721a314c309477df3f56e77e176925bef953cda6022a5f76c3ddb3bc,46645,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task006,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,877,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task007,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,840,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task008,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,020d59b82154d23b9d45e7abb6c20bbff42517308aea6208febfdd85e99ba658,3954,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task009,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,c3f8e45ade47608d076cae0c79adc1ab934d9c559ab2e3f289c39f1329478415,7456,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
task010,true,SRC_KAGGLE_NOTEBOOK_FRANKSUNP_7113,franksunp/starter-baseline-compact-onnx-artifact-vi,7221cdf57ead41beef3e200ead70890f187fe0f856ec2e8c23b5ebc215e0bbb7,3558,unknown_task_level_from_public_output,7113.63 public output task file; notebook summary says 376 SajayR picks and 24 Kojimar picks overall
