exp_id,notebook_path,dataset_path,output_expected,kernel_slug,kernel_status,output_verified,output_sha256,ready_for_submit,notes
GOLF_20260607_002_public_6029_aggressive_mix,E:\kagglegolf\submissions\candidates\GOLF_20260607_002_public_6029_aggressive_mix\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing,false,,false,E:\kagglegolf\reports\MANUAL_SUBMIT_GOLF_20260607_002_public_6029_aggressive_mix.md
GOLF_20260607_003_bottom15_single_task_probe,E:\kagglegolf\submissions\candidates\GOLF_20260607_003_bottom15_single_task_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260607_004_public_notebook_full_replace,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,false,Notebook embeds candidate zip.
GOLF_20260608_004b_beicicc_structural_pass_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_004b_beicicc_structural_pass_mix\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_008_jonathan_constraint_logic_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_008_jonathan_constraint_logic_mix\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,false,Notebook embeds candidate zip.
GOLF_20260608_008b_jonathan_structural_pass_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_008b_jonathan_structural_pass_mix\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_005_mirza_structural_pass_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_005_mirza_structural_pass_mix\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_006_biohack_super_blend_structural_pass_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_006_biohack_super_blend_structural_pass_mix\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_016_jonathan_task233_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_016_jonathan_task233_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing,false,,false,E:\kagglegolf\reports\MANUAL_SUBMIT_GOLF_20260608_016_jonathan_task233_probe.md
GOLF_20260608_016_jonathan_task255_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_016_jonathan_task255_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_017_jonathan_task286_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_017_jonathan_task286_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_018_jonathan_task173_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_018_jonathan_task173_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_019_jonathan_top5_mix_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_019_jonathan_top5_mix_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_020_beicicc_task366_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_020_beicicc_task366_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
GOLF_20260608_021_jsrdcht_memory_task255_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_021_jsrdcht_memory_task255_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
GOLF_20260608_022_jonathan_task285_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_022_jonathan_task285_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_023_beicicc_task076_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_023_beicicc_task076_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
GOLF_20260608_024_jsrdcht_memory_task285_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_024_jsrdcht_memory_task285_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
GOLF_20260608_025_kojimar_6272_full_replace,E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\kaggle_output\submission.zip
GOLF_20260608_014_biohack_task187_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_014_biohack_task187_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_012_mirza_task187_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_012_mirza_task187_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_012_mirza_task187_probe\kaggle_output\submission.zip
GOLF_20260608_026_beicicc_task169_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_026_beicicc_task169_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
