task_id,source,public_onnx_path,public_score,current_score,estimated_gain,current_total_cost,public_total_cost,correctness,bottom_tail,high_memory_tail,rule_status,onnx_template_candidate,priority_score,negative_feedback_note,recommended_action
task233,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task233.onnx,13.767555928044851,10.679645472747369,3.087910,1656727.0,75542,pass,true,true,,not_obvious,238.791046,negative_lb_probe_6144_03_delta_minus_10_68,skip_for_now_known_negative_probe
task076,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task076.onnx,14.503627688842322,12.292867258634116,2.210760,330094.0,36184,pass,false,true,,not_obvious,231.076043,,direct_single_task_replacement
task096,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task096.onnx,14.71233907482333,12.827184286371278,1.885155,193458.0,29368,pass,false,true,,not_obvious,198.515479,,direct_single_task_replacement
task101,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task101.onnx,13.904485714156337,12.166837180696787,1.737649,374431.0,65875,pass,false,true,,not_obvious,183.764853,,direct_single_task_replacement
task255,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task255.onnx,13.130764657719753,11.62208628955128,1.508678,645586.0,142805,pass,true,true,,not_obvious,180.867837,,direct_single_task_replacement
task018,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task018.onnx,13.35098890724301,11.926440386857584,1.424549,476184.0,114578,pass,true,true,,not_obvious,172.454852,,direct_single_task_replacement
task066,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task066.onnx,15.028480037072045,13.455382088297283,1.573098,103220.0,21408,pass,false,true,,not_obvious,167.309795,,direct_single_task_replacement
task023,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task023.onnx,15.027312930662868,13.863194455943471,1.164118,68652.0,21433,pass,false,false,,not_obvious,116.411847,,direct_single_task_replacement
task285,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task285.onnx,12.935513960531726,12.112179904635754,0.823334,395466.0,173596,pass,true,true,,not_obvious,112.333406,,direct_single_task_replacement
task175,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task175.onnx,14.60554265240923,13.54026436354389,1.065278,94820.0,32678,pass,false,false,,not_obvious,106.527829,,direct_single_task_replacement
task243,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task243.onnx,13.874532744845478,13.401208814053447,0.473324,108966.0,67878,pass,true,true,,not_obvious,77.332393,,direct_single_task_replacement
task118,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task118.onnx,13.997466919324204,13.336192047071197,0.661275,116286.0,60026,pass,false,true,,not_obvious,76.127487,,direct_single_task_replacement
task025,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task025.onnx,13.600400020341894,13.149938233234366,0.450462,140093.0,89286,pass,true,true,,not_obvious,75.046179,,direct_single_task_replacement
task153,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task153.onnx,15.649897685648659,15.029134212133924,0.620763,21394.0,11500,pass,false,false,,not_obvious,62.076347,,direct_single_task_replacement
task209,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task209.onnx,13.757086972350876,13.28530989269121,0.471777,122356.0,76337,pass,false,true,,not_obvious,57.177708,,direct_single_task_replacement
task219,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task219.onnx,14.218172835018288,13.651395086474174,0.566778,84847.0,48138,pass,false,false,,not_obvious,56.677775,,direct_single_task_replacement
task319,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task319.onnx,15.138168122732704,14.580490348791063,0.557678,33507.0,19184,pass,false,false,,not_obvious,55.767777,,direct_single_task_replacement
task158,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task158.onnx,12.883972419349877,12.837576257600388,0.046396,191458.0,182778,pass,true,true,,not_obvious,34.639616,,direct_single_task_replacement
task044,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task044.onnx,14.632621210887095,14.354527484820627,0.278094,42002.0,31805,pass,false,false,,not_obvious,27.809373,,direct_single_task_replacement
task191,jonathanchan__ngc26-constraint-smart-logic-mix-blending,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task191.onnx,13.788274226882638,13.638839729058745,0.149434,85919.0,73993,pass,false,false,,not_obvious,14.943450,,direct_single_task_replacement
